timestamp_utc,mark_close,high,low,effective_bid,effective_ask,effective_spread,volume,source
2026-07-28T14:38:00+00:00,8.13,8.13,8.13,8.13,8.13,0.0,10,unusual_whales
2026-07-28T14:39:00+00:00,7.75,7.75,7.63,,7.63,,6,unusual_whales
2026-07-28T14:40:00+00:00,7.94,7.94,7.58,7.68,7.725,0.045,6,unusual_whales
2026-07-28T14:41:00+00:00,8.46,8.46,8.4,,8.43,,2,unusual_whales
2026-07-28T14:42:00+00:00,8.2,8.42,8.2,8.25,8.3467,0.0967,5,unusual_whales
2026-07-28T14:43:00+00:00,8.55,8.59,8.5,8.53,8.5,,22,unusual_whales
2026-07-28T14:44:00+00:00,8.56,8.56,8.54,8.56,,,2,unusual_whales
2026-07-28T14:45:00+00:00,8.03,8.56,8.03,8.23,8.0782,,15,unusual_whales
2026-07-28T14:47:00+00:00,8.81,8.81,8.43,8.81,8.745,,65,unusual_whales
2026-07-28T14:48:00+00:00,9.1,9.1,9.1,9.1,,,1,unusual_whales
2026-07-28T14:49:00+00:00,9.37,9.37,9.27,,9.3233,,3,unusual_whales
2026-07-28T14:50:00+00:00,9.4,9.51,9.33,,9.4567,,6,unusual_whales
2026-07-28T14:51:00+00:00,9.76,9.76,9.69,9.76,9.69,,12,unusual_whales
2026-07-28T14:52:00+00:00,9.25,9.3,9.25,,9.3,,12,unusual_whales
2026-07-28T14:53:00+00:00,9.57,9.57,9.57,,9.57,,26,unusual_whales
2026-07-28T14:55:00+00:00,9.67,9.75,9.67,9.7214,9.71,,12,unusual_whales
2026-07-28T14:57:00+00:00,9.1,9.1,9.1,9.1,,,2,unusual_whales
2026-07-28T15:00:00+00:00,9.07,9.07,8.75,,9.07,,5,unusual_whales
2026-07-28T15:03:00+00:00,8.5,8.5,8.5,8.5,,,63,unusual_whales
2026-07-28T15:06:00+00:00,8.83,8.83,8.83,8.83,,,1,unusual_whales
2026-07-28T15:08:00+00:00,8.4,8.4,8.4,8.4,,,10,unusual_whales
2026-07-28T15:09:00+00:00,8.63,8.63,8.59,8.59,8.63,0.04,7,unusual_whales
2026-07-28T15:10:00+00:00,8.68,9.28,8.68,8.7,8.8535,0.1535,36,unusual_whales
2026-07-28T15:12:00+00:00,9.28,9.28,8.9,8.9,9.13,0.23,3,unusual_whales
